departamento,municipio,votos,atipico_volumen
ANTIOQUIA,BETULIA,5272,False
HUILA,PITAL,5271,False
CUNDINAMARCA,SAN FRANCISCO,5268,False
BOYACA,SABOYA,5266,False
ANTIOQUIA,GRANADA,5247,False
CAUCA,MERCADERES,5242,False
META,SAN CARLOS DE GUAROA,5235,False
MAGDALENA,SABANAS DE SAN ANGEL,5228,False
CHOCO,TADO,5209,False
SANTANDER,LOS SANTOS,5201,False
META,FUENTE DE ORO,5199,False
TOLIMA,CARMEN DE APICALA,5198,False
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,5196,False
HUILA,SALADOBLANCO,5182,False
NARINO,EL CHARCO,5178,False
SANTANDER,CHARALA,5177,False
RISARALDA,MISTRATO,5174,False
PUTUMAYO,SAN MIGUEL,5150,False
NARINO,BARBACOAS,5133,False
CAUCA,JAMBALO,5132,False
PUTUMAYO,PUERTO LEGUIZAMO,5124,False
CUNDINAMARCA,SASAIMA,5124,False
CALDAS,RISARALDA,5106,False
MAGDALENA,ALGARROBO,5086,False
BOYACA,GUATEQUE,5080,False
CUNDINAMARCA,CAPARRAPI,5044,False
ARAUCA,FORTUL,5039,False
CESAR,GAMARRA,5028,False
ATLANTICO,TUBARA,5019,False
CAUCA,ALMAGUER,4986,False
CUNDINAMARCA,GACHETA,4968,False
BOLIVAR,SANTA ROSA,4965,False
SUCRE,LA UNION,4955,False
HUILA,PALESTINA,4943,False
ANTIOQUIA,CISNEROS,4933,False
MAGDALENA,TENERIFE,4926,False
NARINO,CHACHAGUI,4926,False
NORTE DE SANTANDER,CHITAGA,4920,False
SANTANDER,OIBA,4902,False
SUCRE,CAIMITO,4882,False
ATLANTICO,SANTA LUCIA,4859,False
CUNDINAMARCA,GUACHETA,4833,False
HUILA,SANTA MARIA,4829,False
ANTIOQUIA,EBEJICO,4796,False
CUNDINAMARCA,CHIPAQUE,4784,False
CUNDINAMARCA,SAN JUAN DE RIOSECO,4772,False
ANTIOQUIA,VENECIA,4771,False
SUCRE,PALMITO,4767,False
NARINO,CORDOBA,4729,False
NORTE DE SANTANDER,SALAZAR,4703,False
TOLIMA,ARMERO,4699,False
BOYACA,COMBITA,4679,False
NARINO,GUAITARILLA,4641,False
CALDAS,FILADELFIA,4640,False
CESAR,TAMALAMEQUE,4637,False
NORTE DE SANTANDER,CONVENCION,4636,False
META,PUERTO RICO,4635,False
BOLIVAR,SAN MARTIN DE LOBA,4628,False
NARINO,RICAURTE,4618,False
BOYACA,SOATA,4616,False
ANTIOQUIA,ENTRERRIOS,4589,False
CHOCO,ALTO BAUDO,4582,False
VALLE DEL CAUCA,EL DOVIO,4578,False
ANTIOQUIA,GUATAPE,4571,False
SUCRE,BUENAVISTA,4570,False
BOLIVAR,TIQUISIO,4570,False
MAGDALENA,SAN ZENON,4566,False
CASANARE,PORE,4544,False
NARINO,OLAYA HERRERA,4544,False
CUNDINAMARCA,BOJACA,4532,False
SUCRE,EL ROBLE,4529,False
HUILA,TESALIA,4526,False
CUNDINAMARCA,YACOPI,4508,False
LA GUAJIRA,URUMITA,4507,False
NORTE DE SANTANDER,LA ESPERANZA,4506,False
ANTIOQUIA,ITUANGO,4492,False
CAQUETA,EL PAUJIL,4480,False
SANTANDER,LANDAZURI,4478,False
BOYACA,TUTA,4478,False
BOLIVAR,SANTA CATALINA,4470,False
BOYACA,MIRAFLORES,4466,False
HUILA,OPORAPA,4461,False
MAGDALENA,PIJINO DEL CARMEN,4455,False
CALDAS,VICTORIA,4442,False
NORTE DE SANTANDER,EL TARRA,4441,False
LA GUAJIRA,DISTRACCION,4437,False
PUTUMAYO,PUERTO GUZMAN,4410,False
BOLIVAR,CLEMENCIA,4408,False
ATLANTICO,SUAN,4405,False
NARINO,POLICARPA,4391,False
TOLIMA,ICONONZO,4359,False
NARINO,YACUANQUER,4354,False
BOLIVAR,ZAMBRANO,4353,False
ANTIOQUIA,SANTO DOMINGO,4352,False
BOLIVAR,TALAIGUA NUEVO,4346,False
CAQUETA,SAN JOSE DEL FRAGUA,4339,False
ANTIOQUIA,LIBORINA,4325,False
MAGDALENA,CONCORDIA,4307,False
CASANARE,HATO COROZAL,4300,False
SANTANDER,ZAPATOCA,4300,False
BOLIVAR,HATILLO DE LOBA,4300,False
BOYACA,MUZO,4279,False
NARINO,CONSACA,4268,False
NARINO,LINARES,4248,False
ATLANTICO,USIACURI,4245,False
NARINO,PUERRES,4240,False
BOYACA,RAMIRIQUI,4220,False
CUNDINAMARCA,PARATEBUENO,4218,False
PUTUMAYO,PUERTO CAICEDO,4204,False
CUNDINAMARCA,PASCA,4192,False
VICHADA,CUMARIBO,4188,False
CASANARE,OROCUE,4186,False
BOLIVAR,BARRANCO DE LOBA,4184,False
CAUCA,LA SIERRA,4177,False
META,LEJANIAS,4174,False
META,MESETAS,4170,False
SANTANDER,BARICHARA,4156,False
CUNDINAMARCA,APULO,4151,False
BOLIVAR,CICUCO,4135,False
NORTE DE SANTANDER,ARBOLEDAS,4134,False
CAQUETA,LA MONTANITA,4122,False
NARINO,POTOSI,4119,False
SANTANDER,MOGOTES,4117,False
CUNDINAMARCA,TENA,4117,False
NARINO,LA FLORIDA,4105,False
RISARALDA,PUEBLO RICO,4101,False
NORTE DE SANTANDER,CACHIRA,4095,False
NORTE DE SANTANDER,BOCHALEMA,4094,False
ANTIOQUIA,MUTATA,4092,False
CESAR,MANAURE BALCON DEL CESAR,4077,False
GUAVIARE,EL RETORNO,4051,False
CAUCA,ROSAS,4011,False
NARINO,LOS ANDES,4004,False
