departamento,municipio,votos
CAQUETA,EL PAUJIL,4480
SANTANDER,LANDAZURI,4478
BOYACA,TUTA,4478
BOLIVAR,SANTA CATALINA,4470
BOYACA,MIRAFLORES,4466
HUILA,OPORAPA,4461
MAGDALENA,PIJINO DEL CARMEN,4455
CALDAS,VICTORIA,4442
NORTE DE SANTANDER,EL TARRA,4441
LA GUAJIRA,DISTRACCION,4437
PUTUMAYO,PUERTO GUZMAN,4410
BOLIVAR,CLEMENCIA,4408
ATLANTICO,SUAN,4405
NARINO,POLICARPA,4391
TOLIMA,ICONONZO,4359
NARINO,YACUANQUER,4354
BOLIVAR,ZAMBRANO,4353
ANTIOQUIA,SANTO DOMINGO,4352
BOLIVAR,TALAIGUA NUEVO,4346
CAQUETA,SAN JOSE DEL FRAGUA,4339
ANTIOQUIA,LIBORINA,4325
MAGDALENA,CONCORDIA,4307
CASANARE,HATO COROZAL,4300
SANTANDER,ZAPATOCA,4300
BOLIVAR,HATILLO DE LOBA,4300
BOYACA,MUZO,4279
NARINO,CONSACA,4268
NARINO,LINARES,4248
ATLANTICO,USIACURI,4245
NARINO,PUERRES,4240
BOYACA,RAMIRIQUI,4220
CUNDINAMARCA,PARATEBUENO,4218
PUTUMAYO,PUERTO CAICEDO,4204
CUNDINAMARCA,PASCA,4192
VICHADA,CUMARIBO,4188
CASANARE,OROCUE,4186
BOLIVAR,BARRANCO DE LOBA,4184
CAUCA,LA SIERRA,4177
META,LEJANIAS,4174
META,MESETAS,4170
SANTANDER,BARICHARA,4156
CUNDINAMARCA,APULO,4151
BOLIVAR,CICUCO,4135
NORTE DE SANTANDER,ARBOLEDAS,4134
CAQUETA,LA MONTANITA,4122
NARINO,POTOSI,4119
SANTANDER,MOGOTES,4117
CUNDINAMARCA,TENA,4117
NARINO,LA FLORIDA,4105
RISARALDA,PUEBLO RICO,4101
NORTE DE SANTANDER,CACHIRA,4095
NORTE DE SANTANDER,BOCHALEMA,4094
ANTIOQUIA,MUTATA,4092
CESAR,MANAURE BALCON DEL CESAR,4077
GUAVIARE,EL RETORNO,4051
CAUCA,ROSAS,4011
NARINO,LOS ANDES,4004
CASANARE,NUNCHIA,3993
HUILA,IQUIRA,3991
CUNDINAMARCA,SAN BERNARDO,3990
CUNDINAMARCA,MEDINA,3978
CUNDINAMARCA,UBALA,3978
HUILA,YAGUARA,3975
NARINO,TANGUA,3967
CUNDINAMARCA,LENGUAZAQUE,3960
CAUCA,PURACE,3956
CAUCA,LOPEZ DE MICAY,3956
VALLE DEL CAUCA,EL AGUILA,3956
SUCRE,COLOSO,3950
SANTANDER,SUAITA,3943
TOLIMA,PRADO,3940
CUNDINAMARCA,UNE,3938
NORTE DE SANTANDER,EL CARMEN,3899
ANTIOQUIA,GOMEZ PLATA,3897
TOLIMA,COELLO,3893
BOLIVAR,MARGARITA,3883
HUILA,AGRADO,3881
CHOCO,CONDOTO,3876
NARINO,ALBAN,3862
HUILA,TERUEL,3838
BOYACA,TOCA,3825
CUNDINAMARCA,VERGARA,3813
SANTANDER,BOLIVAR,3810
BOLIVAR,SOPLAVIENTO,3803
NORTE DE SANTANDER,SAN CAYETANO,3781
CAQUETA,BELEN DE LOS ANDAQUIES,3774
QUINDIO,GENOVA,3758
SANTANDER,VILLANUEVA,3751
BOYACA,BELEN,3740
NARINO,SAN BERNARDO,3724
LA GUAJIRA,EL MOLINO,3714
ANTIOQUIA,NARINO,3709
CONSULADOS,COSTA RICA,3708
TOLIMA,ALVARADO,3707
CAUCA,PADILLA,3706
ANTIOQUIA,VEGACHI,3705
NORTE DE SANTANDER,CUCUTILLA,3689
CUNDINAMARCA,LA PALMA,3676
TOLIMA,PALOCABILDO,3649
BOYACA,SOTAQUIRA,3634
TOLIMA,CUNDAY,3620
MAGDALENA,SANTA BARBARA DE PINTO,3618
CASANARE,SAN LUIS DE PALENQUE,3609
CUNDINAMARCA,GRANADA,3596
CUNDINAMARCA,TAUSA,3583
BOYACA,SUTAMARCHAN,3566
BOLIVAR,SAN FERNANDO,3558
CUNDINAMARCA,UBAQUE,3556
ANTIOQUIA,MACEO,3549
VALLE DEL CAUCA,VERSALLES,3547
META,LA MACARENA,3527
SANTANDER,SAN ANDRES,3526
TOLIMA,ANZOATEGUI,3519
MAGDALENA,SALAMINA,3515
CUNDINAMARCA,MACHETA,3495
TOLIMA,DOLORES,3490
MAGDALENA,CERRO DE SAN ANTONIO,3481
MAGDALENA,ZAPAYAN,3467
CAUCA,SOTARA PAISPAMBA,3462
CUNDINAMARCA,GUATAVITA,3462
ANTIOQUIA,LA PINTADA,3451
RISARALDA,LA CELIA,3419
BOYACA,PAUNA,3414
CUNDINAMARCA,QUETAME,3410
BOYACA,OTANCHE,3405
BOYACA,SANTANA,3404
META,PUERTO LLERAS,3394
MAGDALENA,PEDRAZA,3392
